Estado,CNPJ,Entidade,Valor de Repasse,Pontuação,Tipo,Data Início,Data Fim,TipoPublicacao,Mês,SEI,Projeto,Cidade,Local Entidade,Fiscal,Fiscal Suplente,Fiscal Crea
Minas Gerais,18515395000120,INSTITUTO DE ENGENHARIA E ARQUITETURA DO TRIANGULO MINEIRO,"R$ 80.000,00",100,EVENTO,05/11/2025,08/11/2025,EVENTO,NOVEMBRO,00.001316/2025-85,"25º LOFT INOVA IEATM. - VALORIZAÇÃO DOS PROFISSIONAIS DA ENGENHARIA, AGRONOMIA E GEOCIÊNCIAS 5.0",,Uberaba,,,
São Paulo,30115422000173,ASSOCIAÇÃO BRASILEIRA DE ENGENHARIA DE PRODUÇÃO,"R$ 80.000,00",99,EVENTO,14/10/2025,17/10/2025,EVENTO,OUTUBRO,00.001333/2025-12,45ª ENCONTRO NACIONAL DE ENGENHARIA DE PRODUÇÃO - ENEGEP,,São José dos Campos,,,
Rio Grande do Sul,49932026000167,"ASSOCIAÇÃO DAS ENGENHARIAS, GEOLOGOS, AGRONOMOS E PROFISSIONAIS DO VALE DO RIO CAI - ASEGAP","R$ 80.000,00",95,EVENTO,02/06/2025,05/12/2025,EVENTO,JUNHO,00.001498/2025-94,AVANÇOS PROPOSTOS EM AÇÕES,,Salvador do Sul,,,
Piauí,37062886000108,ASSOCIACAO DOS ENGENHEIROS DO NORTE DO PIAUI - AENPI,"R$ 80.000,00",95,EVENTO,17/07/2025,19/07/2025,EVENTO,JULHO,00.001809/2025-15,1ª EDIÇÃO DA FEIRA DAS ENGENHARIAS DO NORTE DO PIAUÍ,,Parnaíba,,,
São Paulo,51104644000160,ASSOCIAÇÃO REGIONAL DOS ENGENHEIROS DE ILHA SOLTEIRA E ADJACÊNCIAS,"R$ 80.000,00",94,EVENTO,18/08/2025,22/08/2025,EVENTO,AGOSTO,00.001385/2025-99,SEMANA DAS ENGENHARIAS DE ILHA SOLTEIRA,,Ilha Solteira,,,
Paraíba,08667024000100,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DA PARAÍBA,"R$ 80.000,00",94,EVENTO,21/08/2025,23/08/2025,EVENTO,AGOSTO,00.001826/2025-52,II CONGRESSO ESTADUAL DE ENGENHARIA DA PARAÍBA,,,,,
São Paulo,50508134000196,ASSOCIAÇÃO BARRETENSE DE ENGENHARIA  ARQUITETURA E AGRONOMIA,"R$ 80.000,00",94,EVENTO,25/08/2025,29/08/2025,EVENTO,AGOSTO,00.001415/2025-67,SEMANA DAS ENGENHARIAS DE BARRETOS,,Barretos,,,
São Paulo,45103496000167,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DE SÃO JOSÉ DO RIO PRETO","R$ 80.000,00",94,EVENTO,30/09/2025,04/10/2025,EVENTO,SETEMBRO,00.001382/2025-55,48ª SEMANA DA AGRONOMIA,,São José do Rio Preto,,,
São Paulo,51855021000120,ASSOCIAÇÃO DOS ENGENHEIROS ARQUITETOS E AGRÔNOMOS DA REGIÃO DE VOTUPORANGA-SP,"R$ 80.000,00",94,EVENTO,13/10/2025,17/10/2025,EVENTO,OUTUBRO,00.001769/2025-10,3ª SEMANA DAS ENGENHARIAS DE VOTUPORANGA,,Votuporanga,,,
Distrito Federal,01104662000174,ASSOCIAÇÃO BRASILEIRA DE ENGENHEIROS CIVIS - ABENC,"R$ 80.000,00",94,EVENTO,05/11/2025,07/11/2025,EVENTO,NOVEMBRO,00.001486/2025-60,30° CONGRESSO BRASILEIRO DE ENGENHEIROS CIVIS - CBENC - ABORDANDO TEMAS RELEVANTES NA ÁREA DE ENGENHARIA CIVIL.,,Brasília,,,
Paraíba,04102397000183,FEDERAÇÃO NACIONAL DE ENGENHARIA MECÂNICA E INDUSTRIAL - FENEMI,"R$ 80.000,00",91,EVENTO,21/08/2025,23/08/2025,EVENTO,AGOSTO,00.001227/2025-39,25º CONEMI CONGRESSO INTERNACIONAL DE ENGENHARIA MECÂNICA E INDUSTRIAL,,João Pessoa,,,
Minas Gerais,05112029000189,FEDERAÇÃO BRASILEIRA DE GEÓLOGOS - FEBRAGEO,"R$ 80.000,00",91,EVENTO,13/10/2025,17/10/2025,EVENTO,OUTUBRO,00.001212/2025-71,XIV GEOPOLÍTICAS: SEMANA DE CIÊNCIA E TECNOLOGIA,,Belo Horizonte,,,
Distrito Federal,61755260000161,CONFEDERAÇÃO DOS ENGENHEIROS AGRÔNOMOS DO BRASIL-CONFAEAB,"R$ 80.000,00",91,EVENTO,14/10/2025,17/10/2025,EVENTO,OUTUBRO,00.001469/2025-22,XXXIV CBA-CONGRESSO BRASILEIRO DE AGRONOMIA,,Brasília,,,
Santa Catarina,06167416000185,ASSOCIAÇÃO DOS ENGENHEIROS AGRONOMOS DA SERRA CATARINENSE - ASSEA,"R$ 70.000,00",90,EVENTO,10/06/2025,12/06/2025,EVENTO,JUNHO,00.001287/2025-51,16º SENAFRUT - SEMINÁRIO NACIONAL SOBRE FRUTICULTURA DE CLIMA TEMPERADO,,São Joaquim,,,
Minas Gerais,25944455000196,UNIVERSIDADE FEDERAL DE VIÇOSA,"R$ 70.000,00",90,EVENTO,12/07/2025,18/07/2025,EVENTO,JULHO,00.001757/2025-87,95A. SEMANA DO FAZENDEIRO DA UNIVERSIDADE FEDERAL DE VIÇOSA,,"Viçosa, Minas Gerais",,,
Paraná,72325673000122,ASSOCIAÇÃO REGIONAL DOS ENGENHEIROS AGRÔNOMOS DE CASCAVEL,"R$ 70.000,00",90,EVENTO,06/08/2025,08/08/2025,EVENTO,AGOSTO,00.001480/2025-92,ENCONTRO PARANAENSE DE SECRETÁRIOS MUNICIPAIS DE AGRICULTURA E MEIO AMBIENTE 2025,,Cascavel,,,
Distrito Federal,43996719000137,ASSOCIAÇÃO BRASILEIRA DE EDUCAÇÃO EM ENGENHARIA,"R$ 70.000,00",90,EVENTO,15/09/2025,18/09/2025,EVENTO,SETEMBRO,00.001315/2025-31,53° CONGRESSO BRASILEIRO DE EDUCAÇÃO EM ENGENHARIA E O VIII SIMPÓSIO INTERNACIONAL DE EDUCAÇÃO EM ENGENHARIA - COBENGE,,Brasília,,,
São Paulo,61796835000194,INSTITUTO BRASILEIRO DE AVALIAÇÕES E PERÍCIAS DE ENGENHARIA,"R$ 70.000,00",90,EVENTO,17/11/2025,21/11/2025,EVENTO,NOVEMBRO,00.001384/2025-44,XXIII CONGRESSO BRASILEIRO DE ENGENHARIA DE AVALIAÇÕES E PERICIAS – COBREAP,,São Paulo,,,
Santa Catarina,79886032000196,ASSOCIAÇÃO CATARINENSE DE ENGENHARIA DE SEGURANÇA DO TRABALHO,"R$ 70.000,00",89,EVENTO,15/09/2025,17/09/2025,EVENTO,SETEMBRO,00.001452/2025-75,IV CONGRESSO SUL BRASILEIRO DE SEGURANÇA E SAÚDE DO TRABALHO – SulSST2025,,Florianópolis,,,
Paraná,76639384000159,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO PARANA,"R$ 70.000,00",89,EVENTO,26/11/2025,28/11/2025,EVENTO,NOVEMBRO,00.001299/2025-86,"51º Encontro Paranaense de Entidades de Classe - EPEC, 34º Fórum de Inspetores e 18º Prêmio Crea da Qualidade – PCQ",,Curitiba,,,
Minas Gerais,20320503000151,FUNDAÇÃO ARTHUR BERNARDES - FUNARBE,"R$ 70.000,00",88,EVENTO,23/08/2025,28/08/2025,EVENTO,AGOSTO,00.001628/2025-99,VIII SIMPÓSIO INTERNACIONAL DE ENTOMOLOGIA DE VIÇOSA,,"Viçosa, Alagoas",,,
São Paulo,44192060000129,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DO ABC,"R$ 70.000,00",88,EVENTO,22/09/2025,26/09/2025,EVENTO,SETEMBRO,00.001827/2025-05,WORKSHOP FEDERAL UFABC 2025,,"Santo André, São Paulo",,,
São Paulo,43369750000148,SINDICATO DOS GEOLOGOS NO ESTADO DE SÃO PAULO - SIGESP,"R$ 70.000,00",87,EVENTO,17/08/2025,21/08/2025,EVENTO,AGOSTO,00.001620/2025-22,18º CONGRESSO BRASILEIRO DE GEOLOGIA DE ENGENHARIA E AMBIENTAL,,Osasco,,,
Mato Grosso,03484789000191,INSTITUTO DE ENGENHARIA DE MATO GROSSO,"R$ 70.000,00",87,EVENTO,16/09/2025,18/09/2025,EVENTO,SETEMBRO,00.001284/2025-18,FEIRA DE NEGÓCIOS E INOVAÇÕES TECNOLÓGICAS,,Cuiabá,,,
Distrito Federal,37174158000198,ASSOCIAÇÃO NACIONAL DE ENGENHARIA DE SEGURANÇA DO TRABALHO,"R$ 70.000,00",87,EVENTO,20/11/2025,22/11/2025,EVENTO,NOVEMBRO,00.001706/2025-55,27º CONGRESSO NACIONAL DE ENGENHARIA DE SEGURANÇA DO TRABALHO,,Brasília,,,
Pernambuco,09795881000159,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DE PERNAMBUCO,"R$ 70.000,00",86,EVENTO,01/06/2025,15/12/2025,EVENTO,JUNHO,00.001292/2025-64,CREA DESENVOLVE (2ª EDIÇÃO),,Recife,,,
Mato Grosso do Sul,33120064000185,ASSOCIACAO SUL MATOGROSSENSE ENGENHEIROS AGRIMENSORE,"R$ 70.000,00",86,EVENTO,10/07/2025,12/07/2025,EVENTO,JULHO,00.001242/2025-87,CONSERVAÇÃO DO SOLO E ÁGUA COM ÊNFASE EM PRÁTICAS MECÂNICAS,,Campo Grande,,,
Rio Grande do Norte,08493330000178,ASSOCIAÇÃO PROFISSIONAL DE GEÓLOGOS DO RIO GRANDE DO NORTE,"R$ 70.000,00",86,EVENTO,19/11/2025,21/11/2025,EVENTO,NOVEMBRO,00.001290/2025-75,XV GEOPOLÍTICAS: EXERCÍCIO PROFISSIONAL EM GEOLOGIA E TRANSIÇÃO ENERGÉTICA,,"Natal, Rio Grande do Norte",,,
Mato Grosso do Sul,00980987000158,SINDICATO DOS ENGENHEIROS NO ESTADO MATO GROSSO DO SUL,"R$ 70.000,00",84,EVENTO,10/09/2025,11/09/2025,EVENTO,SETEMBRO,00.001274/2025-82,3º CINOTENG - CIRCUITO DE INOVAÇÃO E TECNOLOGIA EM ENGENHARIA,,Campo Grande,,,
São Paulo,51264893000113,"ASSEAG - ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DE GUARULHOS","R$ 70.000,00",84,EVENTO,01/10/2025,31/10/2025,EVENTO,OUTUBRO,00.001421/2025-14,31ª REUNIÃO DE NETWORKING E INOVAÇÃO- CONECTA ASSEAG,,Guarulhos,,,
Minas Gerais,17408345000181,ASSOCIAÇÃO VARGINHENSE DE ENGENHEIROS E AGRÔNOMOS,"R$ 70.000,00",84,EVENTO,27/11/2025,29/11/2025,EVENTO,NOVEMBRO,00.001515/2025-93,XXII SEMINÁRIO DE JOVENS LIDERANÇAS,,Varginha,,,
Paraná,80887862000117,"ASSOCIAÇÃO REGIONAL DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DE CIANORTE","R$ 70.000,00",83,EVENTO,23/07/2025,25/07/2025,EVENTO,JULHO,00.001564/2025-26,3º FÓRUM DE AGRO POTENCIALIDADES DA AMENORTE,,Cianorte,,,
Mato Grosso,00964478000131,ASSOCIAÇÃO PROFISSIONAL DOS GEÓLOGOS DO ESTADO DE MATO GROSSO - AGEMAT,"R$ 70.000,00",83,EVENTO,24/07/2025,25/07/2025,EVENTO,JULHO,00.001320/2025-43,XVIII GEO POLÍTICAS: O SETOR MINERAL E OS OBJETIVOS DO DESENVOLVIMENTO SUSTENTÁVEL,,Cuiabá,,,
Paraná,00730040000199,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DO VALE DO PIQUIRI,"R$ 70.000,00",83,EVENTO,30/07/2025,31/07/2025,EVENTO,JULHO,00.001506/2025-01,3º ENCONTRO DE CULTURAS DE VERÃO.,,Ubiratã,,,
Paraná,73464810000172,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DOS CAMPOS GERAIS,"R$ 70.000,00",83,EVENTO,13/08/2025,14/08/2025,EVENTO,AGOSTO,00.001638/2025-24,5º ENCONTRO PARANAENSE DE AGRICULTURA SUSTENTÁVEL,,Ponta Grossa,,,
Paraná,00129434000196,ASSOCIAÇÃO MARINGAENSE DOS ENGENHEIROS AGRÔNOMOS,"R$ 70.000,00",83,EVENTO,03/09/2025,05/09/2025,EVENTO,SETEMBRO,00.001514/2025-49,2º ENCONTRO PARANAENSE DE ADUBAÇÃO DE SISTEMAS.,,Maringá,,,
Paraná,03549695000153,ASSOCIAÇÃO REGIONAL DOS ENGENHEIROS AGRÔNOMOS DE UMUARAMA,"R$ 70.000,00",83,EVENTO,17/09/2025,18/09/2025,EVENTO,SETEMBRO,00.001312/2025-05,5º SEMINÁRIO DE SUSTENTABILIDADE NA AGROPECUÁRIA.,,Umuarama,,,
Paraná,00103543000134,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DA REGIÃO DE IRATI,"R$ 70.000,00",83,EVENTO,24/09/2025,25/09/2025,EVENTO,SETEMBRO,00.001507/2025-47,3º INOVA AGRO – INOVAÇÕES TECNOLÓGICAS NA AGROPECUÁRIA.,,"Irati, Paraná",,,
Paraná,00088563000183,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DA REGIÃO DE FRANCISCO BELTRÃO,"R$ 70.000,00",83,EVENTO,01/10/2025,03/10/2025,EVENTO,OUTUBRO,00.001509/2025-36,3º SIMPÓSIO DE AGRONOMIA DO SUDOESTE.,,Francisco Beltrão,,,
Paraná,02640783000101,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DA REGIÃO DE GUARAPUAVA,"R$ 70.000,00",83,EVENTO,29/10/2025,30/10/2025,EVENTO,OUTUBRO,00.001278/2025-61,DESAFIOS NA AGRICULTURA – SUSTENTABILIDADE EM FOCO.,,Guarapuava,,,
Paraná,00671720000189,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DE CORNÉLIO PROCÓPIO,"R$ 70.000,00",83,EVENTO,05/11/2025,07/11/2025,EVENTO,NOVEMBRO,00.001306/2025-40,I INOVAGRO – INOVAÇÕES TECNOLÓGICAS PARA O AGRONEGÓCIO.,,Cornélio Procópio,,,
Ceará,62916366000758,SOCIEDADE BRASILEIRA DE GEOLOGIA  - NÚCLEO NORDESTE,"R$ 70.000,00",83,EVENTO,14/11/2025,19/11/2025,EVENTO,NOVEMBRO,00.001627/2025-44,30° SIMPÓSIO DE GEOLOGIA DO NORDESTE E 12° SIMPÓSIO DE ROCHAS ORNAMENTAIS DO NORDESTE,,Fortaleza,,,
Paraná,00110266000197,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DO PARANÁ - CURITIBA,"R$ 70.000,00",83,EVENTO,11/09/2025,12/09/2025,EVENTO,SETEMBRO,00.001512/2025-50,2º SIMPÓSIO PARANAENSE DE TECNOLOGIA DE APLICAÇÃO,,,,,
Minas Gerais,12076579000155,INSTITUTO NACIONAL DE ENGENHARIA CIVIL - INEC,"R$ 70.000,00",82,EVENTO,04/07/2025,04/07/2025,EVENTO,JULHO,00.001228/2025-83,PREMIO INFRÃO!,,Belo Horizonte,,,
São Paulo,52346152000144,ASSOCIAÇÃO DOS ENEGNHEIROS ARQUITETOS E AGRÔNOMOS DE ATIBAIA E REGIÃO,"R$ 70.000,00",82,EVENTO,01/08/2025,10/12/2025,EVENTO,AGOSTO,00.001331/2025-23,WORKSHOP DRENAGEM URBANA SUSTENTÁVEL,,Atibaia,,,
São Paulo,51282325000145,ASSOCIAÇÃO DOS ENGENHEIROS ARQUITETOS E AGRÔNOMOS DE INDAIATUBA,"R$ 70.000,00",82,EVENTO,22/09/2025,24/09/2025,EVENTO,SETEMBRO,00.001559/2025-13,WORKSHOP ENGENHARIA E TECNOLOGIA PARA UM FUTURO SUSTENTÁVEL: POLÍTICAS PÚBLICAS E INOVAÇÃO FOMENTANDO OS ODS DA ONU,,Indaiatuba,,,
São Paulo,61712147000107,"ASSOCIAÇÃO DE ENGENHARIA, ARQUITETURA E AGRONOMIA DE MOGI MIRIM","R$ 70.000,00",82,EVENTO,25/09/2025,27/09/2025,EVENTO,SETEMBRO,00.001603/2025-95,WORKSHOP CONTRUINOVA – EXPOSIÇÃO DE INOVAÇÃO E SUSTENTABILIDADE NA CONTRUÇÃO CIVIL (1ª EDIÇÃO),,Mogi Mirim,,,
São Paulo,52800018000171,ABEQ - ASSOCIAÇÃO BRASILEIRA DE ENGENHARIA QUÍMICA,"R$ 70.000,00",82,EVENTO,06/10/2025,10/10/2025,EVENTO,OUTUBRO,00.001237/2025-74,25º COBEQ - CONGRESSO BRASILEIRO DE ENGENHARIA QUÍMICA E 20º ENBEQ - ENCONTRO BRASILEIRO SOBRE O ENSINO EM ENGENHARIA QUÍMICA,,São Paulo,,,
São Paulo,51101830000146,ASSOCIAÇÃO DOS ENGENHEIROS E ARQUITETOS DE PENÁPOLIS,"R$ 70.000,00",82,EVENTO,06/10/2025,08/10/2025,EVENTO,OUTUBRO,00.001598/2025-11,WORKSHOP ENGENHARIA E TECNOLOGIA NO AGRONEGÓCIO PARA UM FUTURO SUSTENTÁVEL,,Penápolis,,,
São Paulo,50802263000192,ASSOCIAÇÃO REGIONAL DOS ENGENHEIROS DE ITAPEVA,"R$ 70.000,00",82,EVENTO,14/10/2025,17/10/2025,EVENTO,OUTUBRO,00.001604/2025-30,"WORKSHOP ENGENHARIA, TECNOLOGIA E INOVAÇÃO DE ITAPEVA PARA UM FUTURO SUSTENTÁVEL",,"Itapeva, São Paulo",,,
Minas Gerais,65171886000181,INSTITUTO MINEIRO DE ENGENHARIA CIVIL - IMEC,"R$ 70.000,00",82,EVENTO,14/11/2025,14/11/2025,EVENTO,NOVEMBRO,00.001266/2025-36,DESTAQUES DA ENGENHARIA 2025!,,Belo Horizonte,,,
Minas Gerais,41778861000182,"ASSOCIAÇÃO REGIONAL DE ENGENHARIA, ARQUITETURA E AGRONOMIA DAS ÁGUAS","R$ 70.000,00",81,EVENTO,10/07/2025,11/07/2025,EVENTO,JULHO,00.001702/2025-77,FÓRUM DA ENGENHARIA E AGRONOMIA - O PAPEL DAS PROFISSÕES NO DESENVOLVIMENTO REGIONAL,,São Lourenço da Mata,,,
São Paulo,49842578000184,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DA NOVA ALTA PAULISTA","R$ 70.000,00",81,EVENTO,19/08/2025,19/08/2025,EVENTO,AGOSTO,00.001357/2025-71,SIMPÓSIO DE GESTÃO DE POLITICAS PUBLICAS: SOLUÇÕES SUSTENTÁVEIS E INOVADORAS PARA O DESENVOLVIMENTO URBANO E RURAL,,Adamantina,,,
Minas Gerais,08803152000134,ASSOCIAÇÃO BRASILEIRA DE ENGENHEIROS ELETRICISTAS - DEPARTAMENTO DE MINAS GERAIS – ABEE-MG,"R$ 70.000,00",81,EVENTO,27/08/2025,28/08/2025,EVENTO,AGOSTO,00.001296/2025-42,FÓRUM MINEIRO DE CIDADES INTELIGENTES E SUSTENTÁVEIS,,Belo Horizonte,,,
Piauí,17130979000115,DEPARTAMENTO DO PIAUÍ DA ASSOCIAÇÃO BRASILEIRA DE ENGENHEIROS CIVIS,"R$ 70.000,00",81,EVENTO,11/09/2025,13/09/2025,EVENTO,SETEMBRO,00.001671/2025-54,4ª SEMANA PIAUIENSE DE ENGENHARIA CIVIL DA ABENC-PI,,Teresina,,,
Mato Grosso do Sul,15417520000171,CREA-MS,"R$ 70.000,00",81,EVENTO,10/12/2025,13/12/2025,EVENTO,DEZEMBRO,00.001644/2025-81,"SEMANA DA ENGENHARIA, AGRONOMIA E GEOCIÊNCIA DO CREA MATO GROSSO DO SUL:FORTALECIMENTO DAS PROFISSÕES",,Campo Grande,,,
